Species	Symbol	Ensembl	Family	Protein	Entrez ID
Mus_musculus	Zfp429	ENSMUSG00000078994	zf-C2H2	ENSMUSP00000105354;	72807
Mus_musculus	Zfp541	ENSMUSG00000078796	zf-C2H2	ENSMUSP00000104149;ENSMUSP00000148143;ENSMUSP00000147475;	666528
Mus_musculus	Smad3	ENSMUSG00000032402	MH1	ENSMUSP00000034973;ENSMUSP00000116790;ENSMUSP00000122217;	17127
Mus_musculus	Yy2	ENSMUSG00000091736	zf-C2H2	ENSMUSP00000070112;	100073351
Mus_musculus	Zfp81	ENSMUSG00000003929	zf-C2H2	ENSMUSP00000050728;	224694
Mus_musculus	Olig1	ENSMUSG00000046160	bHLH	ENSMUSP00000061408;	50914
Mus_musculus	Sox14	ENSMUSG00000053747	HMG	ENSMUSP00000091310;ENSMUSP00000138239;	20669
Mus_musculus	Pknox2	ENSMUSG00000035934	Homeobox	ENSMUSP00000079578;ENSMUSP00000035806;ENSMUSP00000135581;	208076
Mus_musculus	Ctcfl	ENSMUSG00000070495	zf-C2H2	ENSMUSP00000091845;ENSMUSP00000135932;	664799
Mus_musculus	Nobox	ENSMUSG00000029736	Homeobox	ENSMUSP00000133353;ENSMUSP00000031749;	18291
Mus_musculus	Tada2a	ENSMUSG00000018651	MYB	ENSMUSP00000018795;	217031
Mus_musculus	Bcl6	ENSMUSG00000022508	ZBTB	ENSMUSP00000023151;ENSMUSP00000023151;	12053
Mus_musculus	Jun	ENSMUSG00000052684	TF_bZIP	ENSMUSP00000102711;	16476
Mus_musculus	Tbx15	ENSMUSG00000027868	T-box	ENSMUSP00000143417;ENSMUSP00000142358;ENSMUSP00000029462;	21384
Mus_musculus	Tlx2	ENSMUSG00000068327	Homeobox	ENSMUSP00000133420;ENSMUSP00000087069;	21909
Mus_musculus	Mzf1	ENSMUSG00000030380	zf-C2H2	ENSMUSP00000138271;ENSMUSP00000138387;	109889
Mus_musculus	Clock	ENSMUSG00000029238	bHLH	ENSMUSP00000074656;ENSMUSP00000144022;ENSMUSP00000143939;	12753
Mus_musculus	Zfp974	ENSMUSG00000070709	zf-C2H2	ENSMUSP00000096238;	73430
Mus_musculus	Ikzf5	ENSMUSG00000040167	zf-C2H2	ENSMUSP00000123530;ENSMUSP00000035583;	67143
Mus_musculus	Zfp90	ENSMUSG00000031907	zf-C2H2	ENSMUSP00000034382;ENSMUSP00000148744;	22751
Mus_musculus	Zfp683	ENSMUSG00000049410	zf-C2H2	ENSMUSP00000101508;	-
Mus_musculus	Zfp989	ENSMUSG00000086147	zf-C2H2	ENSMUSP00000135720;	-
Mus_musculus	Foxi2	ENSMUSG00000048377	Fork_head	ENSMUSP00000053641;	270004
Mus_musculus	Prdm10	ENSMUSG00000042496	zf-C2H2	ENSMUSP00000149699;ENSMUSP00000074104;ENSMUSP00000149526;	382066
Mus_musculus	Jarid2	ENSMUSG00000038518	ARID	ENSMUSP00000134630;ENSMUSP00000037774;ENSMUSP00000134205;ENSMUSP00000134675;	16468
Mus_musculus	Nrl	ENSMUSG00000040632	TF_bZIP	ENSMUSP00000107035;ENSMUSP00000136445;ENSMUSP00000054457;ENSMUSP00000153933;	18185
Mus_musculus	Foxe3	ENSMUSG00000044518	Fork_head	ENSMUSP00000050445;	30923
Mus_musculus	Csrnp2	ENSMUSG00000044636	CSRNP_N	ENSMUSP00000052144;	207785
Mus_musculus	Tlx1	ENSMUSG00000025215	Homeobox	ENSMUSP00000026236;ENSMUSP00000133627;	21908
Mus_musculus	Rcor1	ENSMUSG00000037896	MYB	ENSMUSP00000112089;ENSMUSP00000082034;	217864
Mus_musculus	Pou3f1	ENSMUSG00000090125	Pou	ENSMUSP00000137374;	18991
Mus_musculus	Arid3a	ENSMUSG00000019564	ARID	ENSMUSP00000101015;ENSMUSP00000019708;ENSMUSP00000101016;	13496
Mus_musculus	Lmx1a	ENSMUSG00000026686	Homeobox	ENSMUSP00000028003;ENSMUSP00000107008;	110648
Mus_musculus	Tcf4	ENSMUSG00000053477	bHLH	ENSMUSP00000144169;ENSMUSP00000110628;ENSMUSP00000067318;ENSMUSP00000144647;ENSMUSP00000144285;ENSMUSP00000077577;ENSMUSP00000144221;ENSMUSP00000143875;ENSMUSP00000144670;ENSMUSP00000144273;ENSMUSP00000144646;ENSMUSP00000143950;ENSMUSP00000143820;ENSMUSP00000144407;ENSMUSP00000144209;ENSMUSP00000144512;ENSMUSP00000143987;ENSMUSP00000110629;ENSMUSP00000143857;ENSMUSP00000110633;ENSMUSP00000144219;ENSMUSP00000110631;ENSMUSP00000110636;	21413
Mus_musculus	Gm15446	ENSMUSG00000090015	zf-C2H2	ENSMUSP00000108163;	100642166
Mus_musculus	Zfp759	ENSMUSG00000057396	zf-C2H2	ENSMUSP00000049650;	268670
Mus_musculus	Zfp947	ENSMUSG00000063383	zf-C2H2	ENSMUSP00000079137;	210853
Mus_musculus	Zfp607b	ENSMUSG00000057093	zf-C2H2	ENSMUSP00000075755;ENSMUSP00000112494;	112415
Mus_musculus	Tbx20	ENSMUSG00000031965	T-box	ENSMUSP00000126318;ENSMUSP00000149186;ENSMUSP00000052591;	57246
Mus_musculus	Zfp945	ENSMUSG00000059142	zf-C2H2	ENSMUSP00000124123;ENSMUSP00000086074;	240041
Mus_musculus	Zfp84	ENSMUSG00000046185	zf-C2H2	ENSMUSP00000032802;	74352
Mus_musculus	Mef2b	ENSMUSG00000079033	SRF	ENSMUSP00000132314;ENSMUSP00000105773;ENSMUSP00000105767;ENSMUSP00000105768;ENSMUSP00000105770;	105980076
Mus_musculus	Six6	ENSMUSG00000021099	Homeobox	ENSMUSP00000021519;	20476
Mus_musculus	Zic5	ENSMUSG00000041703	zf-C2H2	ENSMUSP00000035754;	65100
Mus_musculus	Rorb	ENSMUSG00000036192	THR-like	ENSMUSP00000108451;ENSMUSP00000108447;ENSMUSP00000047597;	225998
Mus_musculus	Nr1h3	ENSMUSG00000002108	THR-like	ENSMUSP00000106988;ENSMUSP00000106987;ENSMUSP00000106986;ENSMUSP00000002177;	22259
Mus_musculus	Mbd4	ENSMUSG00000030322	MBD	ENSMUSP00000032469;ENSMUSP00000145433;ENSMUSP00000125619;	17193
Mus_musculus	AC153379	ENSMUSG00000116458	zf-C2H2	ENSMUSP00000155634;ENSMUSP00000155032;ENSMUSP00000155704;	-
Mus_musculus	Arid5b	ENSMUSG00000019947	ARID	ENSMUSP00000151227;ENSMUSP00000151665;	71371
Mus_musculus	Rxrb	ENSMUSG00000039656	RXR-like	ENSMUSP00000133661;ENSMUSP00000134299;ENSMUSP00000036585;ENSMUSP00000133775;ENSMUSP00000112311;	20182
Mus_musculus	Vsx1	ENSMUSG00000033080	Homeobox	ENSMUSP00000039088;	114889
Mus_musculus	Zfp953	ENSMUSG00000098905	zf-C2H2	ENSMUSP00000076700;	629016
Mus_musculus	Dbx1	ENSMUSG00000030507	Homeobox	ENSMUSP00000032717;	13172
Mus_musculus	Gm28557	ENSMUSG00000100235	zf-C2H2	ENSMUSP00000140296;	-
Mus_musculus	Foxb1	ENSMUSG00000059246	Fork_head	ENSMUSP00000096197;	64290
Mus_musculus	Tsc22d2	ENSMUSG00000027806	TSC22	ENSMUSP00000143364;ENSMUSP00000096688;	72033
Mus_musculus	Sim1	ENSMUSG00000019913	bHLH	ENSMUSP00000020071;ENSMUSP00000151816;	20464
Mus_musculus	Klf10	ENSMUSG00000037465	zf-C2H2	ENSMUSP00000154702;ENSMUSP00000073690;ENSMUSP00000154265;	21847
Mus_musculus	Tsc22d4	ENSMUSG00000029723	TSC22	ENSMUSP00000098107;ENSMUSP00000120835;ENSMUSP00000106613;	78829
Mus_musculus	Mbd3	ENSMUSG00000035478	MBD	ENSMUSP00000100984;ENSMUSP00000100985;ENSMUSP00000089948;ENSMUSP00000100986;	17192
Mus_musculus	E2f8	ENSMUSG00000046179	E2F	ENSMUSP00000112883;ENSMUSP00000056778;	108961
Mus_musculus	Rhox2c	ENSMUSG00000079637	Homeobox	ENSMUSP00000110844;ENSMUSP00000134224;ENSMUSP00000139080;	100039948
Mus_musculus	Zfp141	ENSMUSG00000092416	zf-C2H2	ENSMUSP00000133899;	434178
Mus_musculus	Gm14406	ENSMUSG00000078865	zf-C2H2	ENSMUSP00000104573;	-
Mus_musculus	Klf2	ENSMUSG00000055148	zf-C2H2	ENSMUSP00000064823;	16598
Mus_musculus	Gm14434	ENSMUSG00000078881	zf-C2H2	ENSMUSP00000112478;	668039
Mus_musculus	Onecut3	ENSMUSG00000045518	CUT	ENSMUSP00000053288;	246086
Mus_musculus	Zfp689	ENSMUSG00000048921	zf-C2H2	ENSMUSP00000101906;ENSMUSP00000056610;	71131
Mus_musculus	Klf12	ENSMUSG00000072294	zf-C2H2	ENSMUSP00000153901;ENSMUSP00000094844;	16597
Mus_musculus	Zbed4	ENSMUSG00000034333	zf-BED	ENSMUSP00000035437;	223773
Mus_musculus	Satb2	ENSMUSG00000038331	CUT	ENSMUSP00000046067;ENSMUSP00000110057;ENSMUSP00000135391;	212712
Mus_musculus	Mybl1	ENSMUSG00000025912	MYB	ENSMUSP00000086034;ENSMUSP00000111128;ENSMUSP00000139818;	17864
Mus_musculus	Hnf1b	ENSMUSG00000020679	Homeobox	ENSMUSP00000103748;ENSMUSP00000103749;ENSMUSP00000123297;ENSMUSP00000021016;	21410
Mus_musculus	Zfp950	ENSMUSG00000074733	zf-C2H2	ENSMUSP00000146243;ENSMUSP00000145709;ENSMUSP00000145648;	414758
Mus_musculus	Rhox7a	ENSMUSG00000071767	Homeobox	ENSMUSP00000094193;	547168
Mus_musculus	Maf	ENSMUSG00000055435	TF_bZIP	ENSMUSP00000067704;ENSMUSP00000104732;	17132
Mus_musculus	Cphx2	ENSMUSG00000098463	Homeobox	ENSMUSP00000130311;	100039213
Mus_musculus	Zfp286	ENSMUSG00000047342	zf-C2H2	ENSMUSP00000055517;	192651
Mus_musculus	Zfp709	ENSMUSG00000056019	zf-C2H2	ENSMUSP00000140285;ENSMUSP00000034259;	236193
Mus_musculus	Gm4767	ENSMUSG00000094076	zf-C2H2	ENSMUSP00000097038;ENSMUSP00000139439;	210583
Mus_musculus	Hoxc8	ENSMUSG00000001657	Homeobox	ENSMUSP00000001703;	15426
Mus_musculus	Klf11	ENSMUSG00000020653	zf-C2H2	ENSMUSP00000020982;	194655
Mus_musculus	Prdm9	ENSMUSG00000051977	zf-C2H2	ENSMUSP00000131871;	213389
Mus_musculus	Usf2	ENSMUSG00000058239	bHLH	ENSMUSP00000132833;ENSMUSP00000130298;ENSMUSP00000132021;ENSMUSP00000132256;ENSMUSP00000125520;	22282
Mus_musculus	Etv3	ENSMUSG00000003382	ETS	ENSMUSP00000127419;ENSMUSP00000112915;ENSMUSP00000114047;	27049
Mus_musculus	Ybx1	ENSMUSG00000028639	CSD	ENSMUSP00000078589;	22608
Mus_musculus	Pknox1	ENSMUSG00000006705	Homeobox	ENSMUSP00000134852;ENSMUSP00000094966;ENSMUSP00000135804;	18771
Mus_musculus	Gm13212	ENSMUSG00000078502	zf-C2H2	ENSMUSP00000112918;ENSMUSP00000095402;ENSMUSP00000101365;	433801
Mus_musculus	2210418O10Rik	ENSMUSG00000078894	zf-C2H2	ENSMUSP00000118168;ENSMUSP00000096607;	100504263
Mus_musculus	Zfp976	ENSMUSG00000074158	zf-C2H2	ENSMUSP00000141023;ENSMUSP00000096105;	208111
Mus_musculus	Duxbl2	ENSMUSG00000072675	Homeobox	ENSMUSP00000098373;ENSMUSP00000128018;ENSMUSP00000134235;ENSMUSP00000133830;	100039227
Mus_musculus	Foxl2	ENSMUSG00000050397	Fork_head	ENSMUSP00000053297;	26927
Mus_musculus	Creb3l4	ENSMUSG00000027938	TF_bZIP	ENSMUSP00000029547;ENSMUSP00000102992;	78284
Mus_musculus	Zbtb14	ENSMUSG00000049672	ZBTB	ENSMUSP00000108294;ENSMUSP00000108294;ENSMUSP00000108296;ENSMUSP00000108296;ENSMUSP00000054897;ENSMUSP00000054897;	22666
Mus_musculus	Mlxip	ENSMUSG00000038342	bHLH	ENSMUSP00000064943;ENSMUSP00000120510;	208104
Mus_musculus	Nfxl1	ENSMUSG00000072889	zf-NF-X1	ENSMUSP00000084467;ENSMUSP00000074481;ENSMUSP00000114355;	100978
Mus_musculus	Zfp652	ENSMUSG00000075595	zf-C2H2	ENSMUSP00000122280;ENSMUSP00000115393;ENSMUSP00000103345;ENSMUSP00000089153;	268469
Mus_musculus	Zscan4e	ENSMUSG00000095936	zf-C2H2	ENSMUSP00000147356;ENSMUSP00000147491;	-
Mus_musculus	Sp7	ENSMUSG00000060284	zf-C2H2	ENSMUSP00000077596;ENSMUSP00000154859;	170574
Mus_musculus	Dmrtc2	ENSMUSG00000011349	DM	ENSMUSP00000011493;	71241
Mus_musculus	LO018689.1	ENSMUSG00000115853	zf-C2H2	ENSMUSP00000155600;ENSMUSP00000154833;	-
Mus_musculus	Ebf1	ENSMUSG00000057098	COE	ENSMUSP00000099857;ENSMUSP00000104891;ENSMUSP00000080020;	13591
Mus_musculus	Osr2	ENSMUSG00000022330	zf-C2H2	ENSMUSP00000154286;ENSMUSP00000022952;	107587
Mus_musculus	Zfp418	ENSMUSG00000034538	zf-C2H2	ENSMUSP00000057159;	232854
Mus_musculus	Mnt	ENSMUSG00000000282	bHLH	ENSMUSP00000118435;ENSMUSP00000000291;	17428
Mus_musculus	Creb3l1	ENSMUSG00000027230	TF_bZIP	ENSMUSP00000028663;	26427
Mus_musculus	Hoxc12	ENSMUSG00000050328	Homeobox	ENSMUSP00000051003;	15421
Mus_musculus	Atf5	ENSMUSG00000038539	TF_bZIP	ENSMUSP00000047771;ENSMUSP00000103525;	107503
Mus_musculus	Prdm16	ENSMUSG00000039410	zf-C2H2	ENSMUSP00000101262;ENSMUSP00000101261;ENSMUSP00000095365;ENSMUSP00000101263;ENSMUSP00000030902;ENSMUSP00000064546;	70673
Mus_musculus	Tfdp2	ENSMUSG00000032411	E2F	ENSMUSP00000128260;ENSMUSP00000139891;ENSMUSP00000132934;ENSMUSP00000141084;ENSMUSP00000137176;ENSMUSP00000139926;ENSMUSP00000140359;ENSMUSP00000140061;ENSMUSP00000034982;ENSMUSP00000136817;ENSMUSP00000139848;	211586
Mus_musculus	Zhx1	ENSMUSG00000116334	Homeobox	ENSMUSP00000155504;ENSMUSP00000155586;ENSMUSP00000155709;ENSMUSP00000154900;	-
Mus_musculus	Hoxd1	ENSMUSG00000042448	Homeobox	ENSMUSP00000043078;	15429
Mus_musculus	Repin1	ENSMUSG00000052751	zf-C2H2	ENSMUSP00000121975;ENSMUSP00000009420;ENSMUSP00000113548;ENSMUSP00000118890;ENSMUSP00000132365;	58887
Mus_musculus	Zbtb46	ENSMUSG00000027583	ZBTB	ENSMUSP00000029106;ENSMUSP00000029106;ENSMUSP00000137014;ENSMUSP00000137014;	72147
Mus_musculus	Zfp113	ENSMUSG00000037007	zf-C2H2	ENSMUSP00000127561;ENSMUSP00000041796;	56314
Mus_musculus	Setdb1	ENSMUSG00000015697	MBD	ENSMUSP00000102788;ENSMUSP00000015841;ENSMUSP00000102789;	84505
Mus_musculus	Gm10509	ENSMUSG00000073448	zf-C2H2	ENSMUSP00000094996;	-
Mus_musculus	Zfp987	ENSMUSG00000116232	zf-C2H2	ENSMUSP00000155733;	-
Mus_musculus	Lbx1	ENSMUSG00000025216	Homeobox	ENSMUSP00000096997;	16814
Mus_musculus	Zfpm1	ENSMUSG00000049577	zf-C2H2	ENSMUSP00000058037;	22761
Mus_musculus	Gm10770	ENSMUSG00000074837	zf-C2H2	ENSMUSP00000097015;	-
Mus_musculus	Thap7	ENSMUSG00000022760	THAP	ENSMUSP00000097701;	69009
Mus_musculus	Mier3	ENSMUSG00000032727	MYB	ENSMUSP00000104895;ENSMUSP00000104894;ENSMUSP00000036809;	218613
Mus_musculus	Irf9	ENSMUSG00000002325	IRF	ENSMUSP00000120359;ENSMUSP00000120525;ENSMUSP00000119477;	16391
Mus_musculus	Grhl2	ENSMUSG00000022286	CP2	ENSMUSP00000125410;ENSMUSP00000022895;	252973
Mus_musculus	Hoxb6	ENSMUSG00000000690	Homeobox	ENSMUSP00000133281;ENSMUSP00000000704;	15414
Mus_musculus	Zfp551	ENSMUSG00000034071	zf-C2H2	ENSMUSP00000079222;	619331
Mus_musculus	Olig2	ENSMUSG00000039830	bHLH	ENSMUSP00000036797;	50913
Mus_musculus	E2f2	ENSMUSG00000018983	E2F	ENSMUSP00000050047;	242705
Mus_musculus	Zfp692	ENSMUSG00000037243	zf-C2H2	ENSMUSP00000126674;ENSMUSP00000131896;	103836
Mus_musculus	Esrra	ENSMUSG00000024955	ESR-like	ENSMUSP00000025906;ENSMUSP00000134587;ENSMUSP00000133916;	26379
Mus_musculus	Tfe3	ENSMUSG00000000134	bHLH	ENSMUSP00000111343;ENSMUSP00000078498;ENSMUSP00000076864;ENSMUSP00000111341;ENSMUSP00000111342;ENSMUSP00000099219;ENSMUSP00000134125;	209446
Mus_musculus	Zfp667	ENSMUSG00000054893	zf-C2H2	ENSMUSP00000128658;ENSMUSP00000104202;ENSMUSP00000083507;	384763
Mus_musculus	Pias4	ENSMUSG00000004934	zf-MIZ	ENSMUSP00000005064;	59004
Mus_musculus	En2	ENSMUSG00000039095	Homeobox	ENSMUSP00000036761;	13799
Mus_musculus	Zfp120	ENSMUSG00000068134	zf-C2H2	ENSMUSP00000092116;ENSMUSP00000086615;	104348
Mus_musculus	Jund	ENSMUSG00000071076	TF_bZIP	ENSMUSP00000092901;	16478
Mus_musculus	Prdm15	ENSMUSG00000014039	zf-C2H2	ENSMUSP00000093533;ENSMUSP00000120497;ENSMUSP00000113791;	114604
Mus_musculus	Klf15	ENSMUSG00000030087	zf-C2H2	ENSMUSP00000144962;ENSMUSP00000144808;ENSMUSP00000109158;ENSMUSP00000032174;	66277
Mus_musculus	Jund	ENSMUSG00000110974	TF_bZIP	ENSMUSP00000150017;	-
Mus_musculus	Mycl	ENSMUSG00000028654	bHLH	ENSMUSP00000030407;ENSMUSP00000101859;	16918
Mus_musculus	Zfp800	ENSMUSG00000039841	zf-C2H2	ENSMUSP00000039222;ENSMUSP00000110975;ENSMUSP00000110976;	627049
Mus_musculus	Zfp58	ENSMUSG00000071291	zf-C2H2	ENSMUSP00000132285;ENSMUSP00000075487;ENSMUSP00000129177;ENSMUSP00000089108;	238693
Mus_musculus	Tfap2b	ENSMUSG00000025927	AP-2	ENSMUSP00000064488;ENSMUSP00000140213;ENSMUSP00000027059;	21419
Mus_musculus	Dmrta1	ENSMUSG00000043753	DM	ENSMUSP00000057488;	242523
Mus_musculus	Nr1h2	ENSMUSG00000060601	THR-like	ENSMUSP00000146466;ENSMUSP00000103544;ENSMUSP00000073188;ENSMUSP00000146826;ENSMUSP00000103545;ENSMUSP00000103543;ENSMUSP00000146455;ENSMUSP00000126788;	22260
Mus_musculus	Fos	ENSMUSG00000021250	TF_bZIP	ENSMUSP00000021674;	14281
Mus_musculus	Zfp24	ENSMUSG00000051469	zf-C2H2	ENSMUSP00000064637;ENSMUSP00000122579;	59057
Mus_musculus	Nr2c2	ENSMUSG00000005893	RXR-like	ENSMUSP00000109090;ENSMUSP00000109087;ENSMUSP00000138465;	22026
Mus_musculus	Ebf4	ENSMUSG00000053552	COE	ENSMUSP00000105916;ENSMUSP00000105917;ENSMUSP00000134520;ENSMUSP00000133528;ENSMUSP00000105915;	228598
Mus_musculus	Zbtb18	ENSMUSG00000063659	ZBTB	ENSMUSP00000091831;ENSMUSP00000091831;ENSMUSP00000141724;ENSMUSP00000142073;ENSMUSP00000076463;ENSMUSP00000141337;ENSMUSP00000142256;ENSMUSP00000142124;	30928
Mus_musculus	Foxp3	ENSMUSG00000039521	Fork_head	ENSMUSP00000111404;ENSMUSP00000111405;ENSMUSP00000111403;ENSMUSP00000041953;	20371
Mus_musculus	Runx3	ENSMUSG00000070691	Runt	ENSMUSP00000113159;ENSMUSP00000050353;	12399
Mus_musculus	Tfec	ENSMUSG00000029553	bHLH	ENSMUSP00000031533;	21426
Mus_musculus	Gsc2	ENSMUSG00000022738	Homeobox	ENSMUSP00000012279;	195333
Mus_musculus	Nfatc1	ENSMUSG00000033016	RHD	ENSMUSP00000126884;ENSMUSP00000129001;ENSMUSP00000077196;ENSMUSP00000046312;	18018
Mus_musculus	Gm28360	ENSMUSG00000100305	zf-C2H2	ENSMUSP00000140444;	-
Mus_musculus	Tcfl5	ENSMUSG00000038932	bHLH	ENSMUSP00000040611;	277353
Mus_musculus	Zfp575	ENSMUSG00000066721	zf-C2H2	ENSMUSP00000092294;	101544
Mus_musculus	Zfp956	ENSMUSG00000045466	zf-C2H2	ENSMUSP00000098989;	101197
Mus_musculus	Gm14412	ENSMUSG00000078868	zf-C2H2	ENSMUSP00000104587;	-
Mus_musculus	Wiz	ENSMUSG00000024050	zf-C2H2	ENSMUSP00000069443;ENSMUSP00000126253;ENSMUSP00000084993;	22404
Mus_musculus	Gm21994	ENSMUSG00000074735	zf-C2H2	ENSMUSP00000075719;	-
Mus_musculus	T	ENSMUSG00000062327	T-box	ENSMUSP00000074236;ENSMUSP00000135526;ENSMUSP00000119581;	20997
Mus_musculus	Zfp397	ENSMUSG00000024276	zf-C2H2	ENSMUSP00000057253;	69256
Mus_musculus	Sim2	ENSMUSG00000062713	bHLH	ENSMUSP00000072043;	20465
Mus_musculus	Zfp426	ENSMUSG00000059475	zf-C2H2	ENSMUSP00000130945;ENSMUSP00000127045;ENSMUSP00000079250;ENSMUSP00000129727;ENSMUSP00000126446;ENSMUSP00000111224;	235028
Mus_musculus	Zfp771	ENSMUSG00000054716	zf-C2H2	ENSMUSP00000056959;	244216
Mus_musculus	Gm9049	ENSMUSG00000112919	MYB	ENSMUSP00000151392;	-
Mus_musculus	Zfp984	ENSMUSG00000078495	zf-C2H2	ENSMUSP00000101360;ENSMUSP00000114023;	100041677
Mus_musculus	Tcf15	ENSMUSG00000068079	bHLH	ENSMUSP00000086511;	21407
Mus_musculus	Arx	ENSMUSG00000035277	Homeobox	ENSMUSP00000109580;ENSMUSP00000049039;	11878
Mus_musculus	Zfp882	ENSMUSG00000089857	zf-C2H2	ENSMUSP00000105629;	382019
Mus_musculus	Neurod2	ENSMUSG00000038255	bHLH	ENSMUSP00000041373;	18013
Mus_musculus	Zfp946	ENSMUSG00000071266	zf-C2H2	ENSMUSP00000132940;ENSMUSP00000086141;ENSMUSP00000113244;	74149
Mus_musculus	Gm14139	ENSMUSG00000079009	zf-C2H2	ENSMUSP00000105552;ENSMUSP00000105555;	100271882
Mus_musculus	Smarce1	ENSMUSG00000037935	HMG	ENSMUSP00000099422;	57376
Mus_musculus	Ncor1	ENSMUSG00000018501	MYB	ENSMUSP00000018645;ENSMUSP00000124045;ENSMUSP00000124698;ENSMUSP00000121806;ENSMUSP00000125317;ENSMUSP00000124120;ENSMUSP00000098627;ENSMUSP00000098628;	20185
Mus_musculus	Zfp189	ENSMUSG00000039634	zf-C2H2	ENSMUSP00000103324;ENSMUSP00000036663;	230162
Mus_musculus	Sp1	ENSMUSG00000001280	zf-C2H2	ENSMUSP00000130747;ENSMUSP00000001326;	20683
Mus_musculus	Nkx2-3	ENSMUSG00000044220	Homeobox	ENSMUSP00000050933;	18089
Mus_musculus	Zfp260	ENSMUSG00000049421	zf-C2H2	ENSMUSP00000052200;ENSMUSP00000103835;	26466
Mus_musculus	Rhox4g	ENSMUSG00000079628	Homeobox	ENSMUSP00000110820;	664608
Mus_musculus	Aff3	ENSMUSG00000037138	AF-4	ENSMUSP00000092637;ENSMUSP00000148461;ENSMUSP00000044128;	16764
Mus_musculus	Sall2	ENSMUSG00000049532	zf-C2H2	ENSMUSP00000154331;ENSMUSP00000056401;	50524
Mus_musculus	Zfp579	ENSMUSG00000051550	zf-C2H2	ENSMUSP00000123963;ENSMUSP00000104212;ENSMUSP00000124074;	68490
Mus_musculus	Hey1	ENSMUSG00000040289	bHLH	ENSMUSP00000038014;	15213
Mus_musculus	Prdm4	ENSMUSG00000035529	zf-C2H2	ENSMUSP00000041942;ENSMUSP00000151931;	72843
Mus_musculus	Tshz1	ENSMUSG00000046982	zf-C2H2	ENSMUSP00000089388;	110796
Mus_musculus	Zfp768	ENSMUSG00000047371	zf-C2H2	ENSMUSP00000055374;ENSMUSP00000145704;	233890
Mus_musculus	Zfp958	ENSMUSG00000058748	zf-C2H2	ENSMUSP00000072937;ENSMUSP00000143842;	233987
Mus_musculus	Maz	ENSMUSG00000030678	zf-C2H2	ENSMUSP00000145619;ENSMUSP00000032916;ENSMUSP00000145610;	17188
Mus_musculus	Zkscan16	ENSMUSG00000038630	zf-C2H2	ENSMUSP00000103178;	100041581
Mus_musculus	Zfp160	ENSMUSG00000067942	zf-C2H2	ENSMUSP00000086191;	224585
Mus_musculus	Zfp963	ENSMUSG00000092260	zf-C2H2	ENSMUSP00000119087;	620419
Mus_musculus	Zfp672	ENSMUSG00000049755	zf-C2H2	ENSMUSP00000104457;ENSMUSP00000114561;ENSMUSP00000070567;ENSMUSP00000140236;ENSMUSP00000060088;	319475
Mus_musculus	Zbtb37	ENSMUSG00000043467	ZBTB	ENSMUSP00000134769;ENSMUSP00000134769;ENSMUSP00000125253;ENSMUSP00000125253;ENSMUSP00000134753;ENSMUSP00000125417;ENSMUSP00000131576;	240869
Mus_musculus	D130040H23Rik	ENSMUSG00000079038	zf-C2H2	ENSMUSP00000148399;	211135
Mus_musculus	Zfp13	ENSMUSG00000062012	zf-C2H2	ENSMUSP00000111178;ENSMUSP00000054595;	22654
Mus_musculus	Zfp616	ENSMUSG00000069476	zf-C2H2	ENSMUSP00000136549;	327963
Mus_musculus	Zbtb2	ENSMUSG00000075327	ZBTB	ENSMUSP00000097656;ENSMUSP00000097656;ENSMUSP00000097655;ENSMUSP00000097655;	381990
Mus_musculus	Irf1	ENSMUSG00000018899	IRF	ENSMUSP00000122101;ENSMUSP00000104550;ENSMUSP00000118314;ENSMUSP00000118795;ENSMUSP00000116656;ENSMUSP00000019043;ENSMUSP00000104548;ENSMUSP00000114315;	16362
Mus_musculus	Zbtb26	ENSMUSG00000050714	ZBTB	ENSMUSP00000070071;ENSMUSP00000070071;ENSMUSP00000099850;ENSMUSP00000099850;	320633
Mus_musculus	Mlx	ENSMUSG00000017801	bHLH	ENSMUSP00000017945;ENSMUSP00000121600;ENSMUSP00000102923;ENSMUSP00000102924;	21428
Mus_musculus	Sp100	ENSMUSG00000026222	SAND	ENSMUSP00000122670;ENSMUSP00000118481;ENSMUSP00000120267;ENSMUSP00000122899;ENSMUSP00000066399;ENSMUSP00000116942;	20684
Mus_musculus	Crebzf	ENSMUSG00000051451	TF_bZIP	ENSMUSP00000050972;	233490
Mus_musculus	Zfhx4	ENSMUSG00000025255	Homeobox	ENSMUSP00000026284;ENSMUSP00000135289;ENSMUSP00000135827;	80892
Mus_musculus	Ikzf1	ENSMUSG00000018654	zf-C2H2	ENSMUSP00000075992;ENSMUSP00000018798;ENSMUSP00000046974;ENSMUSP00000119960;ENSMUSP00000067372;	22778
Mus_musculus	En1	ENSMUSG00000058665	Homeobox	ENSMUSP00000078659;	13798
Mus_musculus	Atf7	ENSMUSG00000099083	TF_bZIP	ENSMUSP00000104456;ENSMUSP00000130130;ENSMUSP00000139181;ENSMUSP00000139367;ENSMUSP00000139308;ENSMUSP00000139243;	223922
Mus_musculus	Pou2f1	ENSMUSG00000026565	Pou	ENSMUSP00000107057;ENSMUSP00000064000;ENSMUSP00000107055;ENSMUSP00000125444;ENSMUSP00000124738;ENSMUSP00000027850;ENSMUSP00000107056;ENSMUSP00000138962;ENSMUSP00000125371;	18986
Mus_musculus	Grhl1	ENSMUSG00000020656	CP2	ENSMUSP00000082689;ENSMUSP00000020985;	195733
